"File","NEF","TIFF","Date Created","Date Modified","File Size","Image Size","Date Shot","Time Zone and Date","Image Quality","Artist","Copyright","Image Comment","Device","Lens","Focal Length","Focus Mode","AF-Area Mode","VR","AF Fine Tune","Aperture","Shutter Speed","Exposure Mode","Exposure Comp.","Exposure Tuning","Metering","ISO Sensitivity","Flash Device","Flash Sync Mode","Flash Mode","White Balance","Color Space","High ISO NR","Long Exposure NR","Active D-Lighting","Image Authentication","Vignette Control","Auto Distortion Control","Picture Control","Base","Quick Adjust","Sharpening","Contrast","Brightness","Saturation","Hue","Filter Effects","Toning","Optimize Image","Color Mode","Tone Comp.","Hue Adjustment","Saturation","Sharpening","Latitude","Longitude","Altitude","Altitude Reference","Heading","UTC","Map Datum","Scene Mode","Keywords"
"r5c96d71at","http://193.205.194.113/RAISE/NEF/r5c96d71at.NEF","http://193.205.194.113/RAISE/TIFF/r5c96d71at.TIF","9/20/2014 15:41","11/1/2011 13:06","18.9 MB","L (4928 x 3264)","06:07.0","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","42mm","Manual","Single","ON","OFF","f/11","1/80s","Aperture Priority","0EV","","Matrix","ISO 200","","","","Cloudy, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[LS] Landscape","[LS] Landscape","-","9","3","0","1","1","","","","","","","","","","","","","","","","","landscape; outdoor"
"rb8ed5a24t","http://193.205.194.113/RAISE/NEF/rb8ed5a24t.NEF","http://193.205.194.113/RAISE/TIFF/rb8ed5a24t.TIF","9/20/2014 15:41","11/1/2011 13:09","20.8 MB","L (4928 x 3264)","09:00.3","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","135mm","AF-A","Auto","ON","OFF","f/11","1/30s","Aperture Priority","0EV","","Matrix","ISO 200","","","","Cloudy, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[LS] Landscape","[LS] Landscape","-","9","3","0","1","1","","","","","","","","","","","","","","","","","landscape; outdoor"
"r980dd976t","http://193.205.194.113/RAISE/NEF/r980dd976t.NEF","http://193.205.194.113/RAISE/TIFF/r980dd976t.TIF","9/20/2014 15:41","11/1/2011 13:09","21.0 MB","L (4928 x 3264)","09:06.9","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","80mm","AF-A","Auto","ON","OFF","f/11","1/25s","Aperture Priority","0EV","","Matrix","ISO 200","","","","Cloudy, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[LS] Landscape","[LS] Landscape","-","9","3","0","1","1","","","","","","","","","","","","","","","","","landscape; outdoor"
"r90de5f2ft","http://193.205.194.113/RAISE/NEF/r90de5f2ft.NEF","http://193.205.194.113/RAISE/TIFF/r90de5f2ft.TIF","9/20/2014 15:41","11/1/2011 13:58","19.6 MB","L (4928 x 3264)","58:20.5","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","200mm","AF-A","Auto","ON","OFF","f/5.6","1/6s","Aperture Priority","0EV","","Matrix","ISO 200","","","","Cloudy, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[LS] Landscape","[LS] Landscape","-","9","3","0","1","1","","","","","","","","","","","","","","","","","landscape; outdoor"
"r699651c0t","http://193.205.194.113/RAISE/NEF/r699651c0t.NEF","http://193.205.194.113/RAISE/TIFF/r699651c0t.TIF","9/20/2014 15:42","11/1/2011 13:58","19.6 MB","L (4928 x 3264)","58:40.9","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","18mm","AF-A","Auto","ON","OFF","f/5","1/10s","Aperture Priority","0EV","","Matrix","ISO 200","","","","Cloudy, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[LS] Landscape","[LS] Landscape","-","9","3","0","1","1","","","","","","","","","","","","","","","","","landscape; outdoor"
"rd3988ad4t","http://193.205.194.113/RAISE/NEF/rd3988ad4t.NEF","http://193.205.194.113/RAISE/TIFF/rd3988ad4t.TIF","9/20/2014 15:42","11/1/2011 13:59","19.8 MB","L (4928 x 3264)","59:17.6","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","18mm","AF-A","Auto","ON","OFF","f/5","1/13s","Aperture Priority","0EV","","Matrix","ISO 200","","","","Cloudy, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[LS] Landscape","[LS] Landscape","-","9","3","0","1","1","","","","","","","","","","","","","","","","","landscape; outdoor"
"r670422a8t","http://193.205.194.113/RAISE/NEF/r670422a8t.NEF","http://193.205.194.113/RAISE/TIFF/r670422a8t.TIF","9/20/2014 15:43","11/1/2011 14:03","20.3 MB","L (4928 x 3264)","03:28.8","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","18mm","AF-A","Auto","ON","OFF","f/3.5","1/6s","Aperture Priority","0EV","","Matrix","ISO 250","","","","Cloudy, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[LS] Landscape","[LS] Landscape","-","9","3","0","1","1","","","","","","","","","","","","","","","","","outdoor"
"rae4cf4f8t","http://193.205.194.113/RAISE/NEF/rae4cf4f8t.NEF","http://193.205.194.113/RAISE/TIFF/rae4cf4f8t.TIF","9/20/2014 15:43","11/1/2011 14:04","21.3 MB","L (4928 x 3264)","04:18.9","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","18mm","Manual","Single","ON","OFF","f/3.5","1/8s","Aperture Priority","0EV","","Matrix","ISO 250","","","","Cloudy, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[LS] Landscape","[LS] Landscape","-","9","3","0","1","1","","","","","","","","","","","","","","","","","outdoor"
"ra566042at","http://193.205.194.113/RAISE/NEF/ra566042at.NEF","http://193.205.194.113/RAISE/TIFF/ra566042at.TIF","9/20/2014 15:43","11/1/2011 14:04","19.8 MB","L (4928 x 3264)","04:28.4","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","18mm","Manual","Single","ON","OFF","f/4.5","1/10s","Aperture Priority","0EV","","Matrix","ISO 250","","","","Cloudy, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[LS] Landscape","[LS] Landscape","-","9","3","0","1","1","","","","","","","","","","","","","","","","","landscape; outdoor"
"rebb2ec8ft","http://193.205.194.113/RAISE/NEF/rebb2ec8ft.NEF","http://193.205.194.113/RAISE/TIFF/rebb2ec8ft.TIF","9/20/2014 15:43","11/1/2011 14:05","19.3 MB","L (4928 x 3264)","05:48.4","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","34mm","Manual","Single","ON","OFF","f/4.5","1/5s","Aperture Priority","0EV","","Matrix","ISO 250","","","","Cloudy, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[LS] Landscape","[LS] Landscape","-","9","3","0","1","1","","","","","","","","","","","","","","","","","outdoor"
"rafb9f497t","http://193.205.194.113/RAISE/NEF/rafb9f497t.NEF","http://193.205.194.113/RAISE/TIFF/rafb9f497t.TIF","9/20/2014 15:44","11/1/2011 14:06","20.1 MB","L (4928 x 3264)","06:14.0","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","18mm","Manual","Single","ON","OFF","f/3.5","1/5s","Aperture Priority","0EV","","Matrix","ISO 250","","","","Cloudy, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[LS] Landscape","[LS] Landscape","-","9","3","0","1","1","","","","","","","","","","","","","","","","","outdoor"
"r8368ec12t","http://193.205.194.113/RAISE/NEF/r8368ec12t.NEF","http://193.205.194.113/RAISE/TIFF/r8368ec12t.TIF","9/20/2014 15:44","11/1/2011 14:06","20.6 MB","L (4928 x 3264)","06:26.8","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","18mm","Manual","Single","ON","OFF","f/3.5","1/5s","Aperture Priority","0EV","","Matrix","ISO 250","","","","Cloudy, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[LS] Landscape","[LS] Landscape","-","9","3","0","1","1","","","","","","","","","","","","","","","","","outdoor"
"rc019bd36t","http://193.205.194.113/RAISE/NEF/rc019bd36t.NEF","http://193.205.194.113/RAISE/TIFF/rc019bd36t.TIF","9/20/2014 15:44","11/1/2011 14:06","19.0 MB","L (4928 x 3264)","06:33.5","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","18mm","Manual","Single","ON","OFF","f/3.5","1/4s","Aperture Priority","0EV","","Matrix","ISO 250","","","","Cloudy, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[LS] Landscape","[LS] Landscape","-","9","3","0","1","1","","","","","","","","","","","","","","","","","outdoor"
"rbfe44b03t","http://193.205.194.113/RAISE/NEF/rbfe44b03t.NEF","http://193.205.194.113/RAISE/TIFF/rbfe44b03t.TIF","9/20/2014 15:45","11/1/2011 14:10","18.0 MB","L (4928 x 3264)","10:35.5","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","18mm","Manual","Single","ON","OFF","f/3.5","1/8s","Aperture Priority","0EV","","Matrix","ISO 250","","","","Cloudy, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[LS] Landscape","[LS] Landscape","-","9","3","0","1","1","","","","","","","","","","","","","","","","","buildings; outdoor"
"ra4a6f7a0t","http://193.205.194.113/RAISE/NEF/ra4a6f7a0t.NEF","http://193.205.194.113/RAISE/TIFF/ra4a6f7a0t.TIF","9/20/2014 15:45","9/17/2011 5:58","18.1 MB","L (4928 x 3264)","58:21.9","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","18mm","AF-A","Auto","ON","OFF","f/11","1/200s","Manual","0EV","","Matrix","ISO 200","","","","Cloudy, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[SD] STANDARD","[SD] STANDARD","-","9","2","0","3","1","","","","","","","","","","","","","","","","","outdoor; people"
"r3cf37aeet","http://193.205.194.113/RAISE/NEF/r3cf37aeet.NEF","http://193.205.194.113/RAISE/TIFF/r3cf37aeet.TIF","9/20/2014 15:45","9/17/2011 6:04","20.5 MB","L (4928 x 3264)","04:58.5","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","32mm","AF-A","Auto","ON","OFF","f/25","1/20s","Manual","0EV","","Matrix","ISO 200","","","","Cloudy, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[SD] STANDARD","[SD] STANDARD","-","9","2","0","3","1","","","","","","","","","","","","","","","","","buildings; outdoor"
"r6835c007t","http://193.205.194.113/RAISE/NEF/r6835c007t.NEF","http://193.205.194.113/RAISE/TIFF/r6835c007t.TIF","9/20/2014 15:45","9/17/2011 6:16","19.8 MB","L (4928 x 3264)","16:36.2","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","31mm","AF-A","Auto","ON","OFF","f/25","1/20s","Manual","0EV","","Matrix","ISO 200","","","","Cloudy, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[SD] STANDARD","[SD] STANDARD","-","9","2","0","3","1","","","","","","","","","","","","","","","","","buildings; outdoor"
"r70134ec3t","http://193.205.194.113/RAISE/NEF/r70134ec3t.NEF","http://193.205.194.113/RAISE/TIFF/r70134ec3t.TIF","9/20/2014 15:45","9/17/2011 6:17","19.6 MB","L (4928 x 3264)","17:24.9","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","28mm","AF-A","Auto","ON","OFF","f/25","1/20s","Manual","0EV","","Matrix","ISO 200","","","","Cloudy, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[SD] STANDARD","[SD] STANDARD","-","9","2","0","3","1","","","","","","","","","","","","","","","","","buildings; outdoor; people"
"ra2ea0ba2t","http://193.205.194.113/RAISE/NEF/ra2ea0ba2t.NEF","http://193.205.194.113/RAISE/TIFF/ra2ea0ba2t.TIF","9/20/2014 15:46","9/17/2011 6:20","18.7 MB","L (4928 x 3264)","20:25.6","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","18mm","AF-A","Auto","ON","OFF","f/22","1/20s","Manual","0EV","","Matrix","ISO 200","","","","Cloudy, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[SD] STANDARD","[SD] STANDARD","-","9","2","0","3","1","","","","","","","","","","","","","","","","","buildings; outdoor"
"rf4c7032at","http://193.205.194.113/RAISE/NEF/rf4c7032at.NEF","http://193.205.194.113/RAISE/TIFF/rf4c7032at.TIF","9/20/2014 15:46","9/17/2011 6:39","17.9 MB","L (4928 x 3264)","39:04.3","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","18mm","AF-A","Auto","ON","OFF","f/22","1/25s","Manual","0EV","","Matrix","ISO 200","","","","Cloudy, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[SD] STANDARD","[SD] STANDARD","-","9","2","0","3","1","","","","","","","","","","","","","","","","","buildings; outdoor; people"
"r1267fa5bt","http://193.205.194.113/RAISE/NEF/r1267fa5bt.NEF","http://193.205.194.113/RAISE/TIFF/r1267fa5bt.TIF","9/20/2014 15:46","9/17/2011 6:39","19.1 MB","L (4928 x 3264)","39:16.4","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","18mm","AF-A","Auto","ON","OFF","f/16","1/25s","Manual","0EV","","Matrix","ISO 200","","","","Cloudy, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[SD] STANDARD","[SD] STANDARD","-","9","2","0","3","1","","","","","","","","","","","","","","","","","buildings; outdoor; people"
"r938fe771t","http://193.205.194.113/RAISE/NEF/r938fe771t.NEF","http://193.205.194.113/RAISE/TIFF/r938fe771t.TIF","9/20/2014 15:46","9/17/2011 7:04","19.5 MB","L (4928 x 3264)","04:35.9","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","18mm","AF-A","Auto","ON","OFF","f/16","1/25s","Manual","0EV","","Matrix","ISO 200","","","","Cloudy, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[SD] STANDARD","[SD] STANDARD","-","9","2","0","3","1","","","","","","","","","","","","","","","","","buildings; outdoor; people"
"r2ac482act","http://193.205.194.113/RAISE/NEF/r2ac482act.NEF","http://193.205.194.113/RAISE/TIFF/r2ac482act.TIF","9/20/2014 15:46","9/17/2011 7:07","19.9 MB","L (4928 x 3264)","07:27.6","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","18mm","AF-A","Auto","ON","OFF","f/20","1/40s","Manual","0EV","","Matrix","ISO 200","","","","Cloudy, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[SD] STANDARD","[SD] STANDARD","-","9","2","0","3","1","","","","","","","","","","","","","","","","","buildings; outdoor; people"
"r0b76b82ft","http://193.205.194.113/RAISE/NEF/r0b76b82ft.NEF","http://193.205.194.113/RAISE/TIFF/r0b76b82ft.TIF","9/20/2014 15:46","9/17/2011 7:08","19.1 MB","L (4928 x 3264)","08:12.0","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","18mm","AF-A","Auto","ON","OFF","f/22","1/80s","Manual","0EV","","Matrix","ISO 200","","","","Cloudy, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[SD] STANDARD","[SD] STANDARD","-","9","2","0","3","1","","","","","","","","","","","","","","","","","buildings; outdoor; people"
"r2658351bt","http://193.205.194.113/RAISE/NEF/r2658351bt.NEF","http://193.205.194.113/RAISE/TIFF/r2658351bt.TIF","9/20/2014 15:46","9/17/2011 7:12","18.5 MB","L (4928 x 3264)","12:09.8","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","18mm","AF-A","Auto","ON","OFF","f/22","1/40s","Manual","0EV","","Matrix","ISO 200","","","","Cloudy, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[SD] STANDARD","[SD] STANDARD","-","9","2","0","3","1","","","","","","","","","","","","","","","","","buildings; outdoor; people"
"ra029aa99t","http://193.205.194.113/RAISE/NEF/ra029aa99t.NEF","http://193.205.194.113/RAISE/TIFF/ra029aa99t.TIF","9/20/2014 15:47","9/17/2011 7:18","20.4 MB","L (4928 x 3264)","18:04.8","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","22mm","AF-A","Auto","ON","OFF","f/22","1/40s","Manual","0EV","","Matrix","ISO 200","","","","Cloudy, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[SD] STANDARD","[SD] STANDARD","-","9","2","0","3","1","","","","","","","","","","","","","","","","","buildings; outdoor"
